time,symbol,side,qty,price,reason
2026-07-27 11:00:17.029436,MSFT,BUY,25,393.88,FINAL BUY
2026-07-27 11:17:21.657139,LLY,BUY,8,1197.78,FINAL BUY
2026-07-27 11:24:04.397362,LLY,SELL,8,1198.97,2 ATR TARGET
2026-07-27 11:24:11.513504,LLY,BUY,8,1198.97,FINAL BUY
2026-07-27 11:24:26.599663,LLY,SELL,8,1199.99,2 ATR TARGET
2026-07-27 11:24:33.746645,LLY,BUY,8,1199.99,FINAL BUY
2026-07-28 07:48:53.434071,NVDA,BUY,50,196.97,FINAL BUY
2026-07-28 08:46:11.322924,BA,BUY,45,219.79,FINAL BUY
2026-07-28 08:53:54.008819,BA,SELL,45,220.68,2 ATR TARGET
2026-07-28 08:54:01.214425,BA,BUY,45,220.68,FINAL BUY
2026-07-28 09:05:41.062944,BA,SELL,45,221.51,2 ATR TARGET
2026-07-28 09:30:15.884057,NFLX,BUY,136,73.28,FINAL BUY
2026-07-28 09:31:06.200937,NFLX,SELL,136,73.36,2 ATR TARGET
2026-07-28 09:31:13.425954,NFLX,BUY,136,73.37,FINAL BUY
2026-07-28 10:06:07.174887,NFLX,SELL,136,73.44,2 ATR TARGET
2026-07-28 10:06:40.414505,LLY,BUY,8,1221.72,FINAL BUY
2026-07-28 10:21:36.170495,LLY,SELL,8,1222.59,2 ATR TARGET
2026-07-28 10:40:08.409457,MSFT,BUY,25,399.14,FINAL BUY
2026-07-28 10:48:58.226112,MSFT,SELL,25,399.5,2 ATR TARGET
2026-07-28 10:52:09.809765,MSFT,BUY,25,399.13,FINAL BUY
2026-07-29 06:31:37.835511,ABBV,BUY,37,265.0,FINAL BUY
2026-07-29 06:31:43.140712,ABBV,SELL,37,265.31,2 ATR TARGET
2026-07-29 06:31:50.180316,ABBV,BUY,37,265.31,FINAL BUY
2026-07-29 08:42:51.373683,COST,BUY,10,975.61,FINAL BUY
2026-07-29 08:55:21.121819,COST,SELL,10,976.3,2 ATR TARGET
2026-07-29 09:05:39.507473,AMZN,SHORT,43,227.42,FINAL SELL (SHORT ENTRY)
2026-07-29 10:28:09.699221,ABBV,BUY,37,266.5,FINAL BUY
2026-07-29 10:33:01.477334,ABBV,SELL,37,266.74,2 ATR TARGET
2026-07-29 10:33:08.537345,ABBV,BUY,37,266.74,FINAL BUY
2026-07-29 12:13:21.363517,ABBV,SELL,37,264.7,FINAL SELL
2026-07-29 12:54:57.291668,AMZN,BUY,43,227.04,2 ATR TARGET
2026-07-30 06:30:31.614133,JPM,BUY,28,348.43,FINAL BUY
2026-07-30 08:55:42.128852,JPM,BUY,28,349.13,FINAL BUY
2026-07-30 08:58:18.076514,JPM,SELL,28,349.46,2 ATR TARGET
2026-07-30 08:58:25.171523,JPM,BUY,28,349.41,FINAL BUY
2026-07-30 09:04:22.608485,JPM,SELL,28,349.76,2 ATR TARGET
2026-07-30 09:04:29.766177,BA,BUY,45,219.21,FINAL BUY
2026-07-30 09:16:34.536474,BA,SELL,45,219.55,2 ATR TARGET
2026-07-30 09:16:41.705253,AVGO,BUY,25,387.1,FINAL BUY
2026-07-30 12:10:43.657950,AVGO,SELL,25,387.98,2 ATR TARGET
2026-07-31 08:25:37.689219,MSFT,SELL,19,458.14,2 ATR TARGET
2026-07-31 08:25:45.905613,MSFT,BUY,21,458.2,FINAL BUY
2026-07-31 08:40:26.363279,MSFT,SELL,21,459.42,2 ATR TARGET
2026-07-31 08:42:29.030660,ADBE,BUY,39,246.89,FINAL BUY
2026-07-31 08:44:31.043658,ADBE,SELL,39,247.29,2 ATR TARGET
2026-07-31 08:54:16.872030,ABNB,BUY,63,151.83,FINAL BUY
2026-07-31 11:18:08.737413,QCOM,SELL,60,148.22,FINAL SELL
2026-08-03 09:10:35.752365,CRWD,BUY,48,198.03,FINAL BUY
2026-08-04 08:31:03.130272,CRWD,SELL,48,209.9,2 ATR TARGET
2026-08-04 08:47:42.706823,NVDA,SELL,50,210.79,2 ATR TARGET
2026-08-04 08:47:49.759599,NVDA,BUY,46,210.83,FINAL BUY
2026-08-04 10:05:07.802357,NVDA,SELL,46,211.1,2 ATR TARGET
2026-08-04 10:05:14.844403,NVDA,BUY,45,211.09,FINAL BUY
2026-08-04 10:06:55.377546,NVDA,SELL,45,211.3,2 ATR TARGET
2026-08-04 10:07:02.580806,NVDA,BUY,45,211.32,FINAL BUY
2026-08-04 10:26:10.663298,NVDA,SELL,45,211.53,2 ATR TARGET
2026-08-04 11:34:10.198799,CRWD,BUY,46,210.04,FINAL BUY
2026-08-04 11:35:35.573256,CRWD,SELL,46,210.24,2 ATR TARGET
2026-08-04 11:35:42.730383,CRWD,BUY,46,210.23,FINAL BUY
2026-08-04 12:03:33.684308,CRWD,SELL,46,210.46,2 ATR TARGET
