Ticker,Current Price,Market Cap ($B),RSI (14)
AAPL,321.66,4724.3,63.0
MSFT,381.58,2834.5,44.3
NVDA,208.76,5056.4,62.1
AMZN,233.66,2513.5,40.5
GOOGL,317.69,3885.3,29.6
GOOG,318.34,3893.3,32.0
META,606.1,1538.5,55.2
AVGO,392.47,1867.2,62.5
TSLA,319.69,1262.6,29.0
BRK-B,490.85,1058.7,27.5
JPM,349.9,930.1,65.6
LLY,1185.87,1057.5,44.5
V,351.6,668.7,40.4
XOM,156.89,650.3,82.2
UNH,423.56,384.7,49.0
MA,530.29,468.6,45.3
COST,926.06,410.7,39.5
HD,324.71,323.8,26.0
PG,146.97,342.2,41.9
JNJ,259.27,624.1,46.5
NFLX,68.89,286.9,19.8
ABBV,256.92,453.9,47.0
BAC,61.28,430.1,64.0
CRM,156.93,128.5,41.1
WMT,108.4,862.7,40.6
ORCL,120.04,345.8,33.3
MRK,130.48,322.3,51.5
CVX,194.42,387.2,88.8
KO,81.17,349.2,40.0
ADBE,212.17,84.3,44.3
PEP,134.95,184.2,30.9
AMD,539.69,880.0,54.0
TMO,572.32,212.7,71.3
MCD,262.8,186.7,27.9
CSCO,112.76,444.4,50.8
ABT,100.75,175.5,62.7
WFC,86.19,261.0,52.2
IBM,206.65,194.7,20.3
GE,349.0,362.1,31.2
PM,191.12,297.9,58.9
CAT,894.54,412.0,32.8
DIS,92.83,161.2,28.1
VZ,43.82,183.0,67.2
INTU,281.53,77.0,54.4
TXN,284.99,260.2,45.9
NOW,91.94,95.1,29.7
AMGN,371.5,200.5,47.5
QCOM,171.11,180.3,45.3
AXP,340.84,232.6,42.0
SPGI,420.0,124.3,39.3
BKNG,172.83,133.9,35.8
PLTR,123.37,295.8,41.8
