Ticker,Current Price,200-SMA,3M High,Pullback %,RSI (14),Status
AAXJ,112.25,102.33,124.89,-10.1%,46.6,PASS (SEND TO TAB 7)
ABEO,6.38,5.29,7.36,-13.3%,49.6,PASS (SEND TO TAB 7)
ABEV,3.09,2.81,3.44,-10.2%,48.9,PASS (SEND TO TAB 7)
ABUS,4.47,4.45,5.38,-16.9%,39.8,PASS (SEND TO TAB 7)
ACCO,3.92,3.61,4.36,-10.1%,37.9,PASS (SEND TO TAB 7)
ACHV,6.17,4.68,7.11,-13.2%,45.3,PASS (SEND TO TAB 7)
ACMR,88.42,57.01,127.19,-30.5%,43.2,PASS (SEND TO TAB 7)
ADEA,26.92,22.0,34.28,-21.5%,39.1,PASS (SEND TO TAB 7)
ADUR,13.9,13.01,18.19,-23.6%,38.3,PASS (SEND TO TAB 7)
AEF,8.85,7.69,9.91,-10.7%,43.2,PASS (SEND TO TAB 7)
AESI,13.07,12.84,20.13,-35.1%,37.6,PASS (SEND TO TAB 7)
AGIO,36.28,31.83,44.09,-17.7%,46.3,PASS (SEND TO TAB 7)
AGIX,42.64,38.49,49.67,-14.2%,41.4,PASS (SEND TO TAB 7)
AGL,100.27,40.35,133.04,-24.6%,42.4,PASS (SEND TO TAB 7)
AIP,33.33,21.94,50.26,-33.7%,45.6,PASS (SEND TO TAB 7)
AIPO,30.47,26.87,34.79,-12.4%,46.2,PASS (SEND TO TAB 7)
AIQ,59.33,54.22,70.26,-15.6%,42.1,PASS (SEND TO TAB 7)
AIR,129.47,105.5,146.75,-11.8%,40.0,PASS (SEND TO TAB 7)
AIRG,6.07,5.16,7.66,-20.7%,45.7,PASS (SEND TO TAB 7)
AIRJ,4.48,3.88,6.0,-25.3%,43.8,PASS (SEND TO TAB 7)
AIRT,27.53,22.02,34.49,-20.2%,44.8,PASS (SEND TO TAB 7)
AIS,70.97,51.1,88.79,-20.1%,45.0,PASS (SEND TO TAB 7)
AIVC,104.5,81.6,124.23,-15.9%,47.1,PASS (SEND TO TAB 7)
AKA,11.0,10.98,12.4,-11.3%,44.9,PASS (SEND TO TAB 7)
AKO-B,29.12,27.55,32.4,-10.1%,47.0,PASS (SEND TO TAB 7)
ALGM,50.07,37.56,71.77,-30.2%,40.9,PASS (SEND TO TAB 7)
ALHC,20.0,19.3,25.12,-20.4%,35.4,PASS (SEND TO TAB 7)
ALM,14.18,13.73,23.87,-40.6%,43.4,PASS (SEND TO TAB 7)
ALTO,4.97,3.58,6.11,-18.7%,41.0,PASS (SEND TO TAB 7)
AMAT,562.8,364.57,739.67,-23.9%,42.6,PASS (SEND TO TAB 7)
AMBQ,74.77,42.61,91.61,-18.4%,41.9,PASS (SEND TO TAB 7)
ANAB,54.91,41.27,72.36,-24.1%,41.0,PASS (SEND TO TAB 7)
ANF,90.89,90.05,101.66,-10.6%,47.7,PASS (SEND TO TAB 7)
ANGH,3.32,3.26,7.89,-57.9%,41.9,PASS (SEND TO TAB 7)
ANIK,14.67,12.31,16.49,-11.0%,42.0,PASS (SEND TO TAB 7)
ANNX,5.3,5.07,6.58,-19.5%,48.1,PASS (SEND TO TAB 7)
AOSL,33.81,29.07,54.34,-37.8%,42.5,PASS (SEND TO TAB 7)
AOUT,12.8,9.06,14.97,-14.5%,43.6,PASS (SEND TO TAB 7)
APH,157.43,140.87,178.52,-11.8%,40.8,PASS (SEND TO TAB 7)
APLM,18.86,17.75,26.71,-29.4%,48.3,PASS (SEND TO TAB 7)
APOG,40.27,36.91,50.53,-20.3%,49.9,PASS (SEND TO TAB 7)
APYX,3.83,3.79,5.08,-24.6%,37.4,PASS (SEND TO TAB 7)
ARM,283.04,187.39,452.7,-37.5%,39.7,PASS (SEND TO TAB 7)
ARMG,23.82,16.07,65.95,-63.9%,38.0,PASS (SEND TO TAB 7)
ARMH,11.96,7.91,19.06,-37.3%,39.8,PASS (SEND TO TAB 7)
ARTY,69.17,56.13,81.8,-15.4%,44.9,PASS (SEND TO TAB 7)
ARX,13.77,13.56,17.85,-22.9%,50.0,PASS (SEND TO TAB 7)
ASIA,40.61,37.66,47.47,-14.5%,41.3,PASS (SEND TO TAB 7)
