Time,Symbol,Side,Qty,Entry,Exit,P/L
2026-07-24 11:59:41.549831,NVDA,SHORT,48,206.15,206.34,-9.11999999999989
2026-07-27 06:32:45.886038-07:00,SOXL,SHORT,71,139.39,138.75,45.43999999999903
2026-07-27 06:33:16.903342-07:00,SOXL,SHORT,72,138.47,138.12,25.19999999999959
2026-07-27 06:39:00.034367-07:00,SOXL,SHORT,72,138.51,137.73,56.16000000000008
2026-07-27 06:40:15.938466-07:00,SOXL,SHORT,72,137.78,137.25,38.16000000000008
2026-07-27 06:41:33.078946-07:00,SOXL,SHORT,72,137.15,136.79,25.920000000000982
2026-07-27 06:42:33.739804-07:00,SOXL,SHORT,73,136.46,136.08,27.739999999999668
2026-07-27 06:46:40.181873-07:00,SOXL,SHORT,73,135.35,134.65,51.09999999999917
2026-07-27 06:56:44.214804-07:00,SOXL,SHORT,74,134.59,134.17,31.080000000001178
2026-07-27 06:57:38.795190-07:00,SOXL,SHORT,74,134.14,133.7,32.55999999999983
2026-07-27 06:58:32.411998-07:00,SOXL,SHORT,74,133.51,132.86,48.09999999999832
2026-07-27 08:27:03.664519-07:00,TER,SHORT,30,324.98,323.92,31.800000000000068
2026-07-27 09:17:03.535316-07:00,AVGO,SHORT,26,380.54,379.48,27.56000000000006
2026-07-27 10:38:54.931041-07:00,LLY,SHORT,8,1198.24,1195.18,24.479999999999563
2026-07-29 07:07:14.559411-07:00,AMD,SHORT,22,442.13,440.59,33.88000000000045
2026-07-29 07:08:17.428073-07:00,AMD,SHORT,22,441.85,440.59,27.72000000000105
2026-07-29 07:10:07.519131-07:00,AMD,SHORT,22,440.96,439.61,29.69999999999925
2026-07-29 07:13:06.926005-07:00,AMD,SHORT,22,440.07,438.54,33.6599999999994
2026-07-29 07:14:20.054763-07:00,AMD,SHORT,22,438.64,436.72,42.2399999999991
2026-07-29 07:25:08.788061-07:00,AMD,SHORT,22,437.33,435.91,31.2399999999991
2026-07-29 07:26:03.513067-07:00,AMD,SHORT,22,435.62,434.5,24.6400000000001
2026-07-29 07:27:22.875261-07:00,AMD,SHORT,23,434.15,432.97,27.13999999999885
2026-07-29 07:40:24.830005-07:00,AMD,SHORT,23,432.54,431.14,32.200000000000784
2026-07-29 08:28:40.705080-07:00,AVGO,SHORT,26,374.06,372.91,29.89999999999941
2026-07-29 08:45:24.474504-07:00,AVGO,SHORT,26,372.78,371.84,24.43999999999994
2026-07-29 08:54:23.182160-07:00,AMD,SHORT,23,428.61,427.23,31.739999999999895
2026-07-29 09:02:14.428860-07:00,AVGO,SHORT,26,371.85,370.86,25.740000000000236
2026-07-29 09:04:17.988678-07:00,AMD,SHORT,23,426.61,425.36,28.75
